ClientID,ProductID,Sum_Prior_Quantity,Sum_Post_Quantity,Sum_Betw_Quantity
186,81655901120,0,0,2
186,7175810285,2,0,0
186,7033060006,70,6,15
186,344041,0,0,1
186,2529360056,15,1,11
186,2100006059,19,0,0
186,3680036736,0,2,0
186,4900003719,12,0,0
186,8105439447,6,0,0
186,8149833430,22,0,0
186,2620046378,69,1,4
186,72047344790,1,0,0
186,1154643661,0,1,0
186,80882910054,0,0,1
186,3700006207,3,2,1
186,4525512002,54,0,4
186,3680073414,0,1,0
186,1345142644,21,1,2
186,325329,0,0,1
186,18898500013,4,0,0
186,5070020641,177,0,18
186,4460001594,39,1,4
186,8981911377,22,0,0
186,4147,41182,0,3172
186,7726004018,1,0,0
186,7260000917,199,0,13
186,3800016751,2,0,4
186,1605,6,0,0
186,36916821950,11,2,3
186,479,1,0,0
186,3800031010,125,2,13
186,395635,0,4,0
186,72047384733,1,0,0
186,1380010070,64,0,6
186,35497331142,18,1,5
186,21558500000,1,0,0
186,38137005658,2,0,0
186,7336906040,35,0,0
186,7940019425,1,0,0
186,2710000018,4,0,0
186,7660940115,8,0,0
186,70592809101,2,0,0
186,72047379377,0,0,0
186,8379107010,1,0,0
186,7456215000,0,1,0
186,8623231023,20,0,0
186,2130013809,43,2,0
186,3940001916,97,8,4
186,7685570031,1,0,0
186,1200063847,1,0,0
186,3997800672,4,0,0
186,4175701420,27,0,1
186,64786520221,8,0,0
186,1450001420,37,0,1
186,7116005574,2,0,0
186,63551595869,9,0,0
186,7674007239,1,0,0
186,30045018404,9,1,0
186,31254717162,2,1,0
186,20250500000,12,290,0
186,21325300000,27,0,0
186,7980100390,598,4,40
186,3760401461,5,0,0
186,2430004302,282,3,3
186,2820014810,5,0,0
186,4100005014,347,18,34
186,7800001346,19,0,1
186,1500000785,12,0,1
186,3410001641,6,0,0
186,262924,1,0,0
186,3940001629,71,0,1
186,4131301623,2,0,0
186,72047370192,1,0,0
186,31184531620,11,1,6
186,7911801064,1,0,0
186,4280440688,65,2,16
186,4528400510,2,0,0
186,7031001126,4,0,0
186,1400514304,0,0,0
186,7199000047,8,0,0
186,1600047737,72,3,12
186,2840004314,7,1,0
186,85895900430,2,0,0
186,285358,2,0,0
186,70853129447,17,0,0
186,73995807930,1,0,0
186,85157000390,33,0,0
186,2400036702,103,0,7
186,26081200000,190,17,39
186,3760036918,27,1,2
186,63551595614,18,0,2
186,4131301843,8,1,0
186,4528400352,10,0,0
186,7088163104,0,0,0
186,7110000604,47,0,1
186,252219,1,0,0
186,21525000000,8,0,0
186,7641090137,628,13,37
186,4100053004,2,0,0
186,1117932823,1,0,0
186,2370001450,235,19,18
186,5000060236,60,0,7
186,72047370612,1,0,0
186,4528430010,27,4,0
186,1600012254,0,0,0
186,5150002682,13,1,2
186,9843296155,4,0,0
186,31184514922,9,0,0
186,1410004423,1,0,0
186,7000015583,3,0,0
186,1280051174,11,0,0
186,7047000307,646,24,17
186,7007464118,15,0,1
186,72243020016,10,0,0
186,5070048619,209,0,2
186,81655901292,7,0,2
186,4069741104,38,1,2
186,8819434009,14,0,0
186,2561162070,19,0,0
186,1312000784,67,0,7
186,9,89,1,4
186,20501400000,3,0,0
186,366025,0,0,13
186,8569660803,4,0,0
186,3575111305,2,0,0
186,7239235203,259,4,18
186,81162002090,15,2,0
186,85307115500,1,0,0
186,20552000000,18,0,2
186,67984410465,49,1,0
186,325,9,0,3
186,2460001041,1,0,0
186,417838,0,1,0
186,5070025823,203,0,10
186,1921161395,1,0,0
186,81809400002,17,0,0
186,72047381024,2,0,0
186,2100064605,32,0,3
186,5340025986,169,3,40
186,6827436481,9,1,1
186,2820017479,41,4,0
186,361960,0,0,26
186,2580002630,57,1,6
186,3000031188,55,0,0
186,5070009492,45,0,1
186,4400003119,64,0,3
186,5220000549,48,0,0
186,67862990003,1,0,0
186,336519,0,0,2
186,74914500588,0,2,0
186,2840027836,69,1,9
186,67272476010,601,10,68
186,2820014230,39,1,3
186,5070000477,502,0,0
186,36916831850,31,1,5
186,7151800066,17,0,4
186,7199048011,0,0,0
186,7240000662,47,0,2
186,2428615451,0,0,0
186,3500026968,3,0,0
186,2840059845,8,0,0
186,7283000554,69,11,16
186,87231300917,1,0,0
186,7800001135,2,0,0
186,20114400000,1,0,0
186,7342051640,573,2,10
186,3800031820,81,2,14
186,3680026735,0,4,3
186,81483201524,28,1,1
186,3743501119,3,0,0
186,590,1,0,0
186,4900006815,2,0,0
186,85575600318,3,0,0
186,3700022202,117,17,34
186,72225266004,12,0,0
186,4758,196,0,0
186,1600027792,7,1,0
186,7033018487,11,0,0
186,7142910413,9,0,0
186,1380044709,24,0,0
186,80276302163,5,0,0
186,7175820211,3,0,0
186,7565600922,3,0,0
186,4417,4385,334,696
186,79936674855,7,0,1
186,2279691611,4,0,0
186,7800018046,71,0,0
186,20228300000,64,3,7
186,1600015972,89,7,8
186,81351301023,158,6,14
186,85375400305,0,0,2
186,3100067040,0,0,2
186,428606,0,2,0
186,2970000147,243,6,17
186,3400003250,25,0,2
186,7597140205,44,5,14
186,8019630020,4,0,1
186,7341013543,59,0,1
186,303408,0,0,2
186,3600072442,21,3,4
186,408387,0,1,0
186,5070025213,62,0,11
186,3700074587,0,32,0
186,30065135609,4,0,0
186,8308530038,0,0,0
186,1119241722,4,0,0
186,31184515705,10,0,0
186,8411400996,9,0,0
186,7575561112,0,0,0
186,84174201481,0,0,1
186,30045048101,2,0,0
186,7940052612,0,1,0
186,3338360017,136,0,0
186,7127978001,139,1,1
186,38151900017,1,0,0
186,88491201426,141,11,8
186,7934081501,1,0,0
186,3680024462,0,1,0
186,8903644550,1,0,0
186,4177003630,6,0,0
186,418696,0,3,0
186,70722685089,2,0,0
186,72047381097,1,0,0
186,7003861420,12,0,0
186,3450015181,618,4,38
186,3320097282,11,2,0
186,8735640512,3,0,0
186,5070049365,39,0,0
186,68396988227,37,0,0
186,30067207061,1,0,0
186,31184516965,2,0,0
186,4069774018,13,0,0
186,2400016293,215,0,1
186,70897111899,0,0,9
186,80487957619,1,0,0
186,4528400367,15,0,0
186,63551596711,3,0,0
186,85575600314,0,1,0
186,118,85,0,0
186,72047365093,1,0,0
186,3680033377,0,2,2
186,1820000978,9,0,0
186,3600041245,2,1,1
186,7778200813,125,0,11
186,70943450870,0,0,0
186,85895900501,0,0,1
186,2820030992,53,0,1
186,2100060464,2,0,0
186,293761,1,0,1
186,4841965985,2,0,0
186,1600019360,75,2,11
186,5070056434,42,0,1
186,3330010076,12,0,2
186,8500000768,7,0,0
186,312320,0,0,2
186,5571202572,1,0,0
186,8963619113,3,0,0
186,76352830303,43,0,1
186,260589,1,0,0
186,2100005500,474,2,7
186,4655,843,78,159
186,7205860855,40,1,1
186,7575510942,5,0,0
186,1411391019,14,0,0
186,4137640011,30,0,0
186,5150025195,50,1,2
186,4460000221,42,0,1
186,2733100043,20,0,0
186,63551597024,15,0,1
186,1230035106,9,0,0
186,3700098884,0,4,1
186,7726006125,10,0,0
186,92,145,0,1
186,1380086980,71,4,8
186,79970800001,1,0,0
186,1657195085,44,0,21
186,3100080926,19,1,2
186,7354813208,9,1,3
186,7565600774,2,1,0
186,1590006417,154,0,3
186,68670010148,24,0,0
186,21597800000,1,0,0
186,82676626845,84,0,0
186,3680014584,0,0,1
186,5070008412,272,0,39
186,3700097275,2,0,0
186,71785447000,28,0,0
186,336493,0,0,11
186,4150022020,112,1,7
186,63551596589,2,0,0
186,20394400000,27,2,11
186,2240052576,4,1,1
186,7726009794,1,0,0
186,7800012246,85,0,1
186,63715200200,0,0,0
186,7800002376,41,0,2
186,342916,0,2,24
186,72047376899,1,0,0
186,3570001940,2,0,0
186,63551597004,4,0,0
186,7347200369,4,0,0
186,1112100040,1,0,0
186,1122513601,0,3,0
186,3700080934,1,0,0
186,4132100695,36,1,2
186,1100000406,14,0,1
186,72047380253,1,0,0
186,4332401691,1,0,0
186,7116974010,13,0,2
186,72047341981,1,0,0
186,7251220531,13,0,1
186,7675319863,4,0,0
186,365980,0,0,6
186,4525511889,0,0,2
186,2000010419,59,0,3
186,3680011965,0,2,3
186,4154836174,29,0,1
186,1590014061,26,0,5
186,4127101993,123,2,5
186,7127910302,644,29,106
186,7217923031,1,0,0
186,4220001513,142,4,31
186,7109200069,885,19,54
186,7047000643,373,1,2
186,3800040500,119,0,11
186,7565600048,5,0,0
186,2068507940,4,0,0
186,5100015277,0,1,3
186,20202100000,1,0,0
186,2600000301,12,0,0
186,5200010433,9,1,3
186,7279600017,49,9,13
186,4900006281,14,1,4
186,63551595147,4,0,0
186,280666,3,0,0
186,928101240,0,0,0
186,268247,4,0,0
186,5162331468,2,0,0
186,1117930630,3,0,0
186,31184530698,8,1,5
186,83921903196,3,0,0
186,7766111141,12,0,3
186,85413300505,11,0,0
186,1820012982,8,0,0
186,67852303852,3,0,0
